policy_id,actuator,mean_abs_action,saturation_rate,motor_error_rmse,torque_rms,mean_abs_power
P06_auto_xml_standard_sine,right_ankle_z,0.41410342666625116,0.036000000000000004,0.17151898784877118,20.769784323196355,39.349201692599166
P02_auto_xml_standard_no_ref,right_ankle_z,0.4175772183269825,0.044000000000000004,0.16747847456232354,20.30471322630067,39.03549592145532
P05_v16_standard_bvh,right_hip_x,0.5109529877445796,0.19600000000000004,0.4964843285768266,49.687169140979876,38.1700848966755
P08_v16_standard_bvh,right_hip_x,0.45646465757593013,0.05883333333333333,0.5150829967687867,51.597187350285985,37.23645552399929
P08_v16_standard_bvh,left_knee_z,0.4325014482662033,0.0525,0.18191516466062593,18.468440497619415,36.007256914482895
P07_auto_xml_standard_no_ref,right_ankle_z,0.43683995566399725,0.042,0.1701450169499272,20.633277921965583,35.616895095085304
P01_auto_xml_standard_no_ref,right_ankle_z,0.4708918607054511,0.048999999999999995,0.17161465607948967,20.779029007121665,33.48127291372442
P07_auto_xml_standard_no_ref,left_knee_z,0.30899315946116496,0.0,0.4619171101483244,50.626512121251544,32.259794262320064
P04_v16_forward_bvh,right_hip_x,0.5704811873538128,0.08,0.4524647632704822,45.319950863744474,31.51473221311345
P07_auto_xml_standard_no_ref,left_ankle_z,0.8157309220772392,0.13633333333333333,0.1466145717911139,17.46836962811089,30.971469843756854
P01_auto_xml_standard_no_ref,left_ankle_z,0.8089786478234843,0.155,0.14492074906871918,17.25418088925085,30.461572409003452
P02_auto_xml_standard_no_ref,left_knee_z,0.30958888052637723,0.0,0.4340681905974757,46.981952092648164,30.428493643859
P01_auto_xml_standard_no_ref,left_knee_z,0.30892671108129915,0.0,0.4645435096166977,50.99704593642438,30.110612525512863
P03_v16_forward_bvh,right_hip_x,0.5269970299109749,0.035666666666666666,0.41580302738480984,41.666068688109355,28.721757749110257
P06_auto_xml_standard_sine,left_knee_z,0.313016228873855,0.0,0.43013157294315035,46.624419769909615,28.182967196864524
P06_auto_xml_standard_sine,left_ankle_z,0.7875009475093684,0.16066666666666665,0.14108371965537136,16.81637034761668,27.68939986595908
P05_v16_standard_bvh,left_knee_z,0.3695153380325064,0.03666666666666667,0.16246444328889242,17.20709403253392,27.574420546560646
P07_auto_xml_standard_no_ref,right_knee_z,0.2112576059049558,0.0005,0.26340126412344395,29.533605041642247,26.59662212817462
P01_auto_xml_standard_no_ref,right_ankle_y,0.5525344875375546,0.0018333333333333333,0.05899267893201269,8.334097886075716,26.440546007566084
P08_v16_standard_bvh,left_hip_x,0.6467289917776846,0.20083333333333334,0.30887700183705075,31.006059757587025,26.359133785576002
P02_auto_xml_standard_no_ref,left_ankle_z,0.7980713759797023,0.1628333333333333,0.1378904177536202,16.45107393284256,26.16953857028678
P01_auto_xml_standard_no_ref,right_knee_z,0.21817233194983654,0.0,0.282762019283173,32.401579793228215,25.926661589584597
P07_auto_xml_standard_no_ref,right_ankle_y,0.5663775029716781,0.004166666666666667,0.054601090518452654,7.883406177589316,25.72715925523161
P03_v16_forward_bvh,left_hip_z,0.44357176621274746,0.021166666666666667,0.3021448968322271,30.376460010466218,25.3296602630804
P04_v16_forward_bvh,left_hip_x,0.5645868115075088,0.10283333333333333,0.3316433126373099,33.30202881495256,24.955949145576827
