policy_id,run_name,policy_type,checkpoint_step,scenario,scenario_in_distribution,seed,trial_id,episode_id,steps,duration_s,terminated,total_reward,mean_reward,reward_std,displacement_x,displacement_y,displacement_2d,path_length_2d,trajectory_straightness,mean_horizontal_speed,max_horizontal_speed,tracking_rmse,tracking_mae_x,tracking_mae_y,tracking_mae_yaw,command_failure_rate,mean_root_height,min_root_height,root_height_std,mean_torso_up,min_torso_up,mean_tilt_angle_rad,mean_action_norm,mean_action_rate_norm,mean_action_saturation_rate,mean_motor_target_error,mean_actuator_torque_norm,mean_mechanical_power_abs,mean_acceleration_norm,mean_jerk_norm,mean_foot_slip_speed,external_contact_force_rms
P01_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260615_1300_70m_seed7_running,biomechanics,46694400,diagonal,True,7,P01_auto_xml_standard_no_ref:diagonal:seed7,0,395.0,7.899999999999999,1.0,-525.5951062999666,-1.3306205222783964,2.1337037374564374,2.5068908782741346,-1.69827369126142,3.0279754632435103,3.645825277842273,0.8305322478414467,0.46404764635535783,2.606935673949208,0.7183107294424163,0.26016057368913215,0.07509567157035765,0.156935466379769,0.22784810126582278,1.3856235292893422,0.8962551951408386,0.07378178110520273,0.8734898036039328,0.6132940649986267,0.471693390454477,2.0570662273709654,38.05722464908571,0.006891701828410689,0.9092610420149156,106.41100377054673,311.81352492377107,1.6870266089584016,77.29277772268716,0.8101087008949518,0.0
P01_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260615_1300_70m_seed7_running,biomechanics,46694400,diagonal,True,7,P01_auto_xml_standard_no_ref:diagonal:seed7,1,105.0,2.0999999999999996,0.0,-13.87325206398964,-0.13212621013323467,1.627117246276757,0.3023859410895966,-0.5199578365863999,0.6014926509910578,0.6092520924968406,0.9872639887472802,0.2911851838019347,0.35692460960805955,0.0989854928264895,0.05642963728552292,0.03700833885414557,0.029516681974648972,0.02857142857142857,1.4508506173179263,1.4192193746566772,0.024704631934756954,0.9692565072150457,0.9403964877128601,0.234743183761876,1.9021231616073981,44.4298347247245,0.000529100529100529,0.6432919606253286,75.99418955439764,259.1430790616219,1.266162013142639,84.35105449701051,0.7657753889489427,0.0
P01_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260615_1300_70m_seed7_running,biomechanics,46694400,diagonal,True,19,P01_auto_xml_standard_no_ref:diagonal:seed19,0,326.0,6.52,1.0,-429.13128563115606,-1.3163536369053868,2.3252228057378512,1.7207483303609479,-1.4424424768876634,2.245354118077994,3.0672063582639075,0.732051859513262,0.4733099131296521,2.450788631084521,0.718204668425768,0.2676805677448794,0.07553238211356313,0.15625308806887675,0.22392638036809817,1.386236474375052,0.9066838622093201,0.07327263246212135,0.8813201671729058,0.6170495748519897,0.4650775994987222,1.9763822243848135,41.30183539557005,0.003067484662576687,0.8999492734185912,105.88107497767976,330.0223677299805,1.829762038472751,84.1188313767813,0.8380341447127488,0.0
P01_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260615_1300_70m_seed7_running,biomechanics,46694400,diagonal,True,19,P01_auto_xml_standard_no_ref:diagonal:seed19,1,174.0,3.4799999999999995,0.0,-69.1414409019053,-0.3973646028845132,1.3759509018548544,0.5214925995933299,-0.9683296976581914,1.0998258656702948,1.1140620029554533,0.9872214138464538,0.32075496869414444,0.42809541055702177,0.10923583166507908,0.071053559296899,0.05208400807163554,0.025480652968984864,0.017241379310344827,1.4360584801641003,1.3981648683547974,0.026213184441101017,0.9464095803512924,0.9002705216407776,0.30937324507936664,1.9671139788150025,44.81973042454089,0.0009578544061302681,0.7298281926255762,87.6591245957156,294.7710338218822,1.234640259901913,79.17720776485164,0.8464757509319191,0.0
P01_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260615_1300_70m_seed7_running,biomechanics,46694400,forward,True,7,P01_auto_xml_standard_no_ref:forward:seed7,0,500.0,10.0,0.0,-9.329482275759801,-0.0186589645515196,1.642730408383663,3.102824193701963,0.2068520026296028,3.109711518455388,3.315586983925989,0.9379067819759553,0.3318514902105255,0.3634030094745932,0.05388742575849527,0.020265282194771236,0.00971710176782155,0.02495503106373808,0.01,1.479608174085617,1.464031457901001,0.00701584571521534,0.9958069521188736,0.9884909987449646,0.08182775949507072,1.7332959521600875,64.00862761120891,0.0004444444444444444,0.5599826399497231,65.85020430582264,247.37432060394391,1.5137004735785347,102.76222062765142,0.7587816515946253,0.0
P01_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260615_1300_70m_seed7_running,biomechanics,46694400,forward,True,19,P01_auto_xml_standard_no_ref:forward:seed19,0,500.0,10.0,0.0,-3.749791869369801,-0.007499583738739602,1.57990161433702,2.8151986296579707,0.7026140668604057,2.9015530068186304,3.355158617271641,0.8648035272854326,0.3358302457053775,0.38393271463126255,0.05471897937723056,0.018602839779122877,0.009344069019010928,0.026159994629842004,0.01,1.4822579066753387,1.4672216176986694,0.006639835086514753,0.99686900806427,0.991743803024292,0.07196957043117806,1.7623422811257274,69.88201988303668,0.0002222222222222222,0.5569843498370046,65.50385885710372,259.6509559705248,1.6046792634335163,110.52830557317327,0.7984883555695081,0.0
P01_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260615_1300_70m_seed7_running,biomechanics,46694400,forward_slow,True,7,P01_auto_xml_standard_no_ref:forward_slow:seed7,0,500.0,10.0,0.0,186.1747240247205,0.372349448049441,1.2652972164661076,1.1359948823883315,-0.8184342526183173,1.4001139234617241,1.413481058250356,0.9905431100681475,0.14157504032334955,0.18865080128932551,0.03950932247654596,0.015106053048513444,0.008697153356126884,0.025120833567237936,0.0,1.4844464983940124,1.4703953266143799,0.007836823763162458,0.9831073613166809,0.9684943556785583,0.1777269008784071,1.6618162156809584,43.45230527991216,0.0005555555555555556,0.5554213273599853,63.496410925584556,155.03473349857248,1.1291995218870474,78.89178592956395,0.36945081182112277,0.0
P01_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260615_1300_70m_seed7_running,biomechanics,46694400,forward_slow,True,19,P01_auto_xml_standard_no_ref:forward_slow:seed19,0,500.0,10.0,0.0,182.1197840232635,0.36423956804652696,1.0966130144346267,1.1023592897108756,-0.8711710967309045,1.4050391750379037,1.4514051257975153,0.9680544391531382,0.14529586476048123,0.19281627998937828,0.046054674624434626,0.019787062538261083,0.010718716525438519,0.02838721865953782,0.0,1.4820218534469605,1.4664736986160278,0.009188252805737715,0.9776453328132629,0.9544191360473633,0.20451849189655028,1.6672670350318117,49.71889249217733,0.0003333333333333333,0.5896761099051996,67.28839834122464,171.27320064410952,1.2288840813221518,85.77690216472142,0.3860245947057053,0.0
P01_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260615_1300_70m_seed7_running,biomechanics,46694400,lateral,True,7,P01_auto_xml_standard_no_ref:lateral:seed7,0,177.0,3.5399999999999996,1.0,-24.24590374249965,-0.13698250701977202,2.275831954637922,-0.3115107278499636,-0.5538806778786238,0.6354704862484943,0.9646766925732405,0.65873933841337,0.2766704709098161,1.8630582991969278,0.09057117421721744,0.05017219499364097,0.0375296553687933,0.03641334941261836,0.005649717514124294,1.3772734989554196,0.8774654865264893,0.10228005642676766,0.8540575211330995,0.7436769604682922,0.5134853296493161,2.119767299885447,23.358081103774396,0.010357815442561204,0.8669229575953845,103.8765218064676,198.3720133987487,1.489677894201103,37.62756628594305,0.320712468533628,0.0
P01_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260615_1300_70m_seed7_running,biomechanics,46694400,lateral,True,7,P01_auto_xml_standard_no_ref:lateral:seed7,1,171.0,3.42,1.0,-10.344161585206166,-0.06049217301290156,2.4421176213662505,-0.49055247668002266,-0.46956178157961403,0.6790655337278761,0.9344386651828859,0.7267095840848701,0.27720800385504135,1.78346785695885,0.09503772929448011,0.04077440367735088,0.04785254130334277,0.02245484843443596,0.017543859649122806,1.3921606282741703,0.9075872898101807,0.10300226834480677,0.8814409723755909,0.7796314358711243,0.46217069128182,2.0959894393280436,19.86882460400692,0.002599090318388564,0.7735069333503272,91.37723146411788,156.7746067524951,1.4017054381704526,36.240144500760714,0.27103463122351107,0.0
