policy_id,run_name,policy_type,checkpoint_step,scenario,scenario_in_distribution,seed,trial_id,steps,falls,first_fall_step,first_fall_time_s,survival_fraction,total_reward,mean_reward,tracking_rmse,command_failure_rate,mean_torso_up,min_torso_up,mean_root_height,min_root_height,mean_horizontal_speed,mean_action_rate_norm,mean_mechanical_power_abs,mean_foot_slip_speed
P01_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260615_1300_70m_seed7_running,biomechanics,46694400,turn,True,19,P01_auto_xml_standard_no_ref:turn:seed19,500.0,1.0,385.0,7.7,0.77,-295.9002237841487,-0.5918004475682974,0.476072356846574,0.164,0.8446218318939209,0.5803775191307068,1.3926019613742828,0.9056187868118286,0.22929144639036134,30.056158227374773,213.4008788369577,0.5053134552478
P02_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_0006_50m_seed7_rew_654p7552_best_654p7552_s,biomechanics,51363840,diagonal,True,7,P02_auto_xml_standard_no_ref:diagonal:seed7,500.0,1.0,459.0,9.18,0.918,-382.56047271948773,-0.7651209454389755,0.5389782489319291,0.164,0.8879068219661712,0.4789312779903412,1.4112289265394211,0.9047371745109558,0.36163497006262485,50.75741876791607,334.8199964854013,0.8669467151906065
P02_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_0006_50m_seed7_rew_654p7552_best_654p7552_s,biomechanics,51363840,diagonal,True,19,P02_auto_xml_standard_no_ref:diagonal:seed19,500.0,0.0,500.0,10.0,1.0,-128.119965952239,-0.256239931904478,0.12474535994200028,0.062,0.9032910299301148,0.7458029985427856,1.4135634467601776,1.2669154405593872,0.3323651177294361,48.458516274887934,343.8666273266536,0.8654915906488126
P02_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_0006_50m_seed7_rew_654p7552_best_654p7552_s,biomechanics,51363840,forward,True,7,P02_auto_xml_standard_no_ref:forward:seed7,500.0,0.0,500.0,10.0,1.0,54.21227758261375,0.1084245551652275,0.0685277940762961,0.01,0.9930833721160889,0.9868196845054626,1.4759999651908875,1.4600542783737183,0.3524273505288776,50.1317544939892,216.28341757304287,0.7552724142458106
P02_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_0006_50m_seed7_rew_654p7552_best_654p7552_s,biomechanics,51363840,forward,True,19,P02_auto_xml_standard_no_ref:forward:seed19,500.0,0.0,500.0,10.0,1.0,88.4665351815056,0.1769330703630112,0.06772360762382078,0.012,0.9910058903694153,0.9838165640830994,1.473343012571335,1.4548826217651367,0.3533353587506242,53.09637918028372,227.9630554558108,0.7410360838570661
P02_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_0006_50m_seed7_rew_654p7552_best_654p7552_s,biomechanics,51363840,forward_slow,True,7,P02_auto_xml_standard_no_ref:forward_slow:seed7,500.0,0.0,500.0,10.0,1.0,244.78553086915053,0.48957106173830106,0.053226718350516344,0.0,0.9782851498126983,0.949707567691803,1.4863175234794617,1.4670754671096802,0.13782962974410748,44.0810901275095,162.10842081424397,0.3427234767371786
P02_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_0006_50m_seed7_rew_654p7552_best_654p7552_s,biomechanics,51363840,forward_slow,True,19,P02_auto_xml_standard_no_ref:forward_slow:seed19,500.0,0.0,500.0,10.0,1.0,305.5858015010599,0.6111716030021198,0.05363836105704531,0.0,0.9761781159639359,0.948072075843811,1.4844612143039704,1.4639556407928467,0.14235122998656255,48.7568047834267,179.6699875333336,0.3664354752946805
P02_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_0006_50m_seed7_rew_654p7552_best_654p7552_s,biomechanics,51363840,lateral,True,7,P02_auto_xml_standard_no_ref:lateral:seed7,500.0,2.0,239.0,4.78,0.478,119.18375414796174,0.23836750829592346,0.11574927901275404,0.032,0.9120002856254578,0.7084091901779175,1.4120384162664414,0.8972328901290894,0.2543673061501945,29.223895547765,204.9305282295561,0.36600197876256707
P02_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_0006_50m_seed7_rew_654p7552_best_654p7552_s,biomechanics,51363840,lateral,True,19,P02_auto_xml_standard_no_ref:lateral:seed19,500.0,2.0,154.0,3.08,0.308,168.68772854097188,0.3373754570819438,0.12708122852889642,0.034,0.9084217295646667,0.7784683108329773,1.3994492775201797,0.8696503043174744,0.2777056727346263,29.420279660376423,209.64517070399953,0.3513091346701396
P02_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_0006_50m_seed7_rew_654p7552_best_654p7552_s,biomechanics,51363840,stand,True,7,P02_auto_xml_standard_no_ref:stand:seed7,500.0,0.0,500.0,10.0,1.0,1188.638416647911,2.3772768332958223,0.013787124112369082,0.0,0.9960333771705627,0.9910066723823547,1.4738818826675415,1.4100898504257202,0.006274170009042628,7.731860267355085,31.982607016590634,0.10251439861438488
