policy_id,run_name,scenario,actuator,mean_action,mean_abs_action,std_action,saturation_rate,motor_error_rmse,torque_rms,mean_abs_power
P03_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_18350_resume_forward_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_0254_80m_seed7_running,turn,abdomen_x,0.2783939569461509,0.4367505400905502,0.42859122302493075,0.026,0.06505347748892226,11.69722536239159,3.19455065796458
P04_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_ref_root_foot_gate_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_1736_8m_seed7_rew_1162p4832_best_1162p4832_s,diagonal,abdomen_x,0.11439756021360517,0.40989311949154944,0.4688144197398087,0.011,0.056026975806495356,10.071939887840841,4.363937056291679
P04_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_ref_root_foot_gate_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_1736_8m_seed7_rew_1162p4832_best_1162p4832_s,forward,abdomen_x,0.059452381536364556,0.514244682784658,0.5696583580307585,0.005,0.0761648355522122,13.774127923672113,4.901606863767415
P04_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_ref_root_foot_gate_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_1736_8m_seed7_rew_1162p4832_best_1162p4832_s,forward_slow,abdomen_x,0.0055633295552106575,0.4363978699451545,0.5011759721552701,0.002,0.08635431007159183,15.576380893525883,6.474554016220126
P04_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_ref_root_foot_gate_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_1736_8m_seed7_rew_1162p4832_best_1162p4832_s,lateral,abdomen_x,0.005276675686473027,0.3692666733958758,0.43782414089038973,0.003,0.0765734865462934,13.77893173529934,3.5369098577776703
P04_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_ref_root_foot_gate_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_1736_8m_seed7_rew_1162p4832_best_1162p4832_s,stand,abdomen_x,-0.0032177705971407704,0.40536077430931616,0.471683557396785,0.004,0.08380603120511897,15.136117451315709,5.968496094740649
P04_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_ref_root_foot_gate_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_1736_8m_seed7_rew_1162p4832_best_1162p4832_s,turn,abdomen_x,0.28406116101768564,0.4454083174613188,0.4372728574922997,0.0,0.05948666959505778,10.661268233646831,2.3743704221496866
P05_v16_standard_bvh,biomechanics_noerfi_nodr_ref_bvh_v10_standard_resume3_from_29286400_100m_accurate_ppo_BiomechanicsHumanJoystickStandard_20260625_0018_100m_seed7_rew_758p4744_best_1029p5856_s,diagonal,abdomen_x,-0.08145114453154383,0.4290259086136357,0.5005700554029798,0.001,0.08911704739971432,16.156667657541036,8.239521235783467
P05_v16_standard_bvh,biomechanics_noerfi_nodr_ref_bvh_v10_standard_resume3_from_29286400_100m_accurate_ppo_BiomechanicsHumanJoystickStandard_20260625_0018_100m_seed7_rew_758p4744_best_1029p5856_s,forward,abdomen_x,-0.059518106468371114,0.43312970879639034,0.4927915797434084,0.003,0.08348375824405119,15.158548219641117,8.814341493417844
P05_v16_standard_bvh,biomechanics_noerfi_nodr_ref_bvh_v10_standard_resume3_from_29286400_100m_accurate_ppo_BiomechanicsHumanJoystickStandard_20260625_0018_100m_seed7_rew_758p4744_best_1029p5856_s,forward_slow,abdomen_x,-0.22477538970019667,0.37343095113616437,0.3740262440070993,0.003,0.059536293246030374,10.62863745724969,3.824572855910451
